,scenario,time,population_size,qafpy,quitDurationFactor,attemptingQuittingP,periodDuration,newSmokerDowngradeCategoryP,smokingCOPD1M,smokingCOPD2M,smokingCOPD3M,smokingCOPD4M,smokingCOPD1F,smokingCOPD2F,smokingCOPD3F,smokingCOPD4F,yearlySmokingIntensityReduction,startYear,ID
1,basline 100K 10x,2018-10-01 21:47:30,100000,1,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538394449543
2,basline 100K 10x,2018-10-01 21:47:30,100000,1,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538394450012
3,basline 100K 10x,2018-10-01 21:47:31,100000,1,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538394450464
4,basline 100K 10x,2018-10-01 21:47:33,100000,1,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538394451087
5,basline 100K 10x,2018-10-01 21:47:33,100000,1,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538394453073
6,basline 100K 10x,2018-10-01 21:47:34,100000,1,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538394453401
7,basline 100K 10x,2018-10-01 21:47:34,100000,1,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538394453917
8,basline 100K 10x,2018-10-01 21:47:39,100000,1,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538394454276
9,basline 100K 10x,2018-10-01 21:47:39,100000,1,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538394459449
10,basline 100K 10x,2018-10-01 21:47:40,100000,1,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538394459762
11,Scenario_1_100K_10x,2018-10-09 15:31:38,100000,1,1,0.601,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1539059497049
12,Scenario_1_100K_10x,2018-10-09 15:31:38,100000,1,1,0.601,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1539059497919
13,Scenario_1_100K_10x,2018-10-09 15:31:39,100000,1,1,0.601,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1539059498567
14,Scenario_1_100K_10x,2018-10-09 15:31:41,100000,1,1,0.601,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1539059498893
15,Scenario_1_100K_10x,2018-10-09 15:31:42,100000,1,1,0.601,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1539059501608
16,Scenario_1_100K_10x,2018-10-09 15:31:44,100000,1,1,0.601,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1539059501952
17,Scenario_1_100K_10x,2018-10-09 15:31:44,100000,1,1,0.601,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1539059504104
18,Scenario_1_100K_10x,2018-10-09 15:31:44,100000,1,1,0.601,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1539059504459
19,Scenario_1_100K_10x,2018-10-09 15:31:49,100000,1,1,0.601,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1539059504803
20,Scenario_1_100K_10x,2018-10-09 15:31:49,100000,1,1,0.601,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1539059509447
21,Scenario_2_100K_10x,2018-09-25 16:37:33,100000,1.4,1,0.801,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537857452201
22,Scenario_2_100K_10x,2018-09-25 16:37:33,100000,1.4,1,0.801,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537857453201
23,Scenario_2_100K_10x,2018-09-25 16:37:34,100000,1.4,1,0.801,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537857453576
24,Scenario_2_100K_10x,2018-09-25 16:37:40,100000,1.4,1,0.801,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537857453920
25,Scenario_2_100K_10x,2018-09-25 16:37:41,100000,1.4,1,0.801,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537857460484
26,Scenario_2_100K_10x,2018-09-25 16:37:41,100000,1.4,1,0.801,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537857460921
27,Scenario_2_100K_10x,2018-09-25 16:37:41,100000,1.4,1,0.801,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537857461406
28,Scenario_2_100K_10x,2018-09-25 16:37:43,100000,1.4,1,0.801,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537857461828
29,Scenario_2_100K_10x,2018-09-25 16:37:43,100000,1.4,1,0.801,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537857463312
30,Scenario_2_100K_10x,2018-09-25 16:37:44,100000,1.4,1,0.801,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537857463796
31,Scenario_3_100K_10x,2018-09-26 18:07:53,100000,0.5,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537949273078
32,Scenario_3_100K_10x,2018-09-26 18:07:54,100000,0.5,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537949273588
33,Scenario_3_100K_10x,2018-09-26 18:07:54,100000,0.5,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537949274100
34,Scenario_3_100K_10x,2018-09-26 18:07:55,100000,0.5,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537949274671
35,Scenario_3_100K_10x,2018-09-26 18:07:57,100000,0.5,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537949274992
36,Scenario_3_100K_10x,2018-09-26 18:07:58,100000,0.5,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537949275437
37,Scenario_3_100K_10x,2018-09-26 18:07:58,100000,0.5,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537949278183
38,Scenario_3_100K_10x,2018-09-26 18:08:02,100000,0.5,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537949278501
39,Scenario_3_100K_10x,2018-09-26 18:08:02,100000,0.5,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537949282125
40,Scenario_3_100K_10x,2018-09-26 18:08:02,100000,0.5,1,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1537949282452
41,Scenario_4_100K_10x,2018-09-27 21:38:08,100000,1,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538048287645
42,Scenario_4_100K_10x,2018-09-27 21:38:08,100000,1,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538048288160
43,Scenario_4_100K_10x,2018-09-27 21:38:09,100000,1,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538048288708
44,Scenario_4_100K_10x,2018-09-27 21:38:09,100000,1,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538048289330
45,Scenario_4_100K_10x,2018-09-27 21:38:12,100000,1,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538048289662
46,Scenario_4_100K_10x,2018-09-27 21:38:13,100000,1,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538048292679
47,Scenario_4_100K_10x,2018-09-27 21:38:13,100000,1,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538048292992
48,Scenario_4_100K_10x,2018-09-27 21:38:16,100000,1,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538048293320
49,Scenario_4_100K_10x,2018-09-27 21:38:16,100000,1,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538048296008
50,Scenario_4_100K_10x,2018-09-27 21:38:16,100000,1,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538048296322
51,Scenario_5_100K_10x,2018-09-28 07:14:57,100000,1,0.33333,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538082896253
52,Scenario_5_100K_10x,2018-09-28 07:14:57,100000,1,0.33333,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538082896756
53,Scenario_5_100K_10x,2018-09-28 07:14:57,100000,1,0.33333,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538082897256
54,Scenario_5_100K_10x,2018-09-28 07:14:58,100000,1,0.33333,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538082897834
55,Scenario_5_100K_10x,2018-09-28 07:15:01,100000,1,0.33333,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538082898147
56,Scenario_5_100K_10x,2018-09-28 07:15:01,100000,1,0.33333,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538082901061
57,Scenario_5_100K_10x,2018-09-28 07:15:01,100000,1,0.33333,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538082901395
58,Scenario_5_100K_10x,2018-09-28 07:15:05,100000,1,0.33333,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538082901726
59,Scenario_5_100K_10x,2018-09-28 07:15:05,100000,1,0.33333,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538082905306
60,Scenario_5_100K_10x,2018-09-28 07:15:06,100000,1,0.33333,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538082905635
61,Scenario_6_100K_10x,2018-09-28 14:48:07,100000,0.5,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538110086424
62,Scenario_6_100K_10x,2018-09-28 14:48:07,100000,0.5,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538110087127
63,Scenario_6_100K_10x,2018-09-28 14:48:08,100000,0.5,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538110087440
64,Scenario_6_100K_10x,2018-09-28 14:48:08,100000,0.5,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538110088096
65,Scenario_6_100K_10x,2018-09-28 14:48:11,100000,0.5,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538110088424
66,Scenario_6_100K_10x,2018-09-28 14:48:11,100000,0.5,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538110091127
67,Scenario_6_100K_10x,2018-09-28 14:48:11,100000,0.5,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538110091471
68,Scenario_6_100K_10x,2018-09-28 14:48:15,100000,0.5,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538110091799
69,Scenario_6_100K_10x,2018-09-28 14:48:15,100000,0.5,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538110095190
70,Scenario_6_100K_10x,2018-09-28 14:48:15,100000,0.5,0.66666,0.401,5,0.25,200000,290000,780000,900000,200000,280000,780000,900000,0.012,2013,1538110095502
